aX,aY,aZ
0.048,-0.053,0.925
0.045,-0.053,0.921
0.045,-0.054,0.921
0.044,-0.053,0.919
0.046,-0.052,0.92
0.048,-0.049,0.923
0.048,-0.046,0.926
0.047,-0.045,0.931
0.046,-0.045,0.939
0.044,-0.045,0.939
0.042,-0.049,0.945
0.04,-0.053,0.952
0.037,-0.058,0.958
0.037,-0.066,0.961
0.035,-0.077,0.965
0.034,-0.077,0.968
0.033,-0.091,0.969
0.029,-0.107,0.969
0.026,-0.121,0.969
0.02,-0.131,0.97
0.014,-0.142,0.968
0.014,-0.152,0.962
0.008,-0.152,0.96
0.002,-0.157,0.962
0.001,-0.158,0.962
-0.002,-0.158,0.963
-0.005,-0.156,0.965
-0.005,-0.154,0.969
-0.005,-0.15,0.973
-0.003,-0.149,0.976
-0.004,-0.149,0.979
-0.004,-0.147,0.98
-0.003,-0.142,0.98
-0.005,-0.138,0.98
-0.005,-0.133,0.981
-0.005,-0.129,0.983
-0.005,-0.125,0.987
-0.005,-0.125,0.992
0,-0.121,0.995
0,-0.122,0.995
0,-0.126,0.995
0.001,-0.132,0.996
0.006,-0.14,0.997
0.027,1.23,1.682
0.016,1.542,1.631
-0.012,1.345,1.631
-0.096,0.949,1.717
-0.232,0.531,1.878
-0.372,0.258,1.811
-0.372,0.203,1.607
-0.47,0.203,1.494
-0.514,0.183,1.514
-0.503,0.04,1.514
-0.453,-0.098,1.572
-0.376,-0.133,1.587
-0.268,-0.093,1.554
-0.268,-0.016,1.475
-0.137,0.074,1.33
-0.023,0.074,1.156
0.061,0.152,1.019
0.131,0.201,1.019
0.182,0.208,0.924
0.2,0.202,0.849
0.2,0.208,0.793
0.188,0.223,0.774
0.156,0.223,0.753
0.12,0.222,0.713
0.096,0.2,0.713
0.08,0.194,0.697
0.064,0.204,0.709
0.058,0.207,0.711
0.058,0.197,0.692
0.063,0.197,0.681
0.069,0.19,0.677
0.073,0.185,0.677
0.073,0.178,0.676
0.074,0.18,0.696
0.076,0.185,0.731
0.076,0.195,0.769
0.074,0.209,0.813
0.064,0.209,0.857
