aX,aY,aZ
0.085,-0.609,0.54
0.085,-0.618,0.54
0.101,-0.743,0.546
0.115,-0.626,0.554
0.127,-0.634,0.554
0.137,-0.642,0.563
0.144,-0.646,0.577
0.147,-0.65,0.593
0.147,-0.653,0.607
0.15,-0.656,0.621
0.154,-0.656,0.631
0.154,-0.654,0.642
0.152,-0.651,0.642
0.148,-0.644,0.653
0.145,-0.635,0.661
0.145,-0.626,0.666
0.142,-0.614,0.67
0.141,-0.614,0.674
0.142,-0.601,0.679
0.144,-0.589,0.679
0.149,-0.58,0.683
0.154,-0.571,0.69
0.16,-0.563,0.699
0.16,-0.557,0.709
0.168,-0.552,0.721
0.175,-0.552,0.735
0.178,-0.551,0.749
0.177,-0.551,0.749
0.17,-0.551,0.76
0.163,-0.551,0.771
0.154,-0.551,0.779
0.154,-0.55,0.784
0.144,-0.55,0.787
0.136,-0.548,0.79
0.126,-0.545,0.79
0.118,-0.547,0.791
0.112,-0.547,0.791
0.108,-0.544,0.793
0.108,-0.542,0.794
0.107,-0.539,0.795
0.109,-0.539,0.796
0.11,-0.539,0.799
0.11,-0.54,0.799
0.109,-0.541,0.803
0.109,-0.541,0.805
0.109,-0.542,0.809
0.11,-0.546,0.817
0.009,0.718,1.277
0.013,0.671,1.107
-0.038,0.536,1.107
-0.043,0.479,1.094
-0.037,0.472,1.111
-0.047,0.515,1.087
-0.047,0.568,1.07
-0.061,0.568,1.077
-0.07,0.584,1.078
-0.074,0.569,1.078
-0.08,0.546,1.073
-0.082,0.529,1.069
-0.078,0.521,1.069
-0.078,0.515,1.064
-0.072,0.518,1.059
-0.068,0.518,1.057
-0.066,0.525,1.057
-0.061,0.529,1.057
-0.058,0.529,1.055
-0.055,0.525,1.053
-0.055,0.525,1.05
-0.047,0.529,1.048
-0.041,0.529,1.051
-0.036,0.534,1.051
-0.036,0.54,1.051
-0.035,0.543,1.046
-0.031,0.547,1.038
-0.027,0.549,1.03
-0.027,0.55,1.023
